ID,course1,course2
26e72efe2995eb032a25561b2bf78600,Высокопроизводительные вычисления,-
a19f36ae8465cac527e8ce7b6ebf1213,Язык SQL,-
ecc19831d7abd064f0488a9af2521920,Язык SQL,-
2f8a48924249d2231659183d7654ed33,Высокопроизводительные вычисления,-
6cd7de3774f07c65e44668cdf7e987b6,Моделирование временных рядов,-
2b0d7dd550bcca4c586cbb27d8478aa8,Матричные вычисления,-
fc2c60b8004aa91bc272df84628621ff,Язык SQL,-
bb94ed5af639819dac15574197c80da3,Теория баз данных,-
59347ad5e9d8099a9a8fa58b841bdf05,Моделирование временных рядов,Теория баз данных
5a6dfaade650ca8bb2d081342df303e8,Матричные вычисления,-
72e79e6a79cb4025077b371cc6e54247,Теория баз данных,-
42df9e301b39e4295fe849aa2abdfc7c,Высокопроизводительные вычисления,-
5c49473012411a1eee72f8ea63767adf,Теория баз данных,-
25a3ce0eea214df2aa6d25d395d594f0,Моделирование временных рядов,-
be4fa2120de3397ae21eac38ff0060e3,???,-
ac4e2062ca444a506991c212bd2dd872,Матричные вычисления,-
9c2251ef9825947b98265e4bfa887bcf,Матричные вычисления,-
f0db08ec702a03450390efdca4166cc2,Язык SQL,-
a6ce02b12540bca3cdd15757f8a2e919,Матричные вычисления,-
f3cc62fabaa597e8fe0b20ac2e6f46d3,Безопасность компьютерных систем,-
feb53dcdd28fff9dc4a981c3419fea6f,Язык SQL,???
876b1fbacdfe36cb2e3927aea554b1ff,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
6ed89e424179b0510e3f7c0cb7369ad6,Моделирование временных рядов,-
e83471de8976e4fcfccf4ef417f07192,Сбор и обработка данных с помощью краудсорсинга,-
ffc58d371e2f52e1c7f45d49d3d629d0,Матричные вычисления,-
aa21f50934a72e00bbc7e65a54ea0bcc,Высокопроизводительные вычисления,-
a69948a1730e412eab71a4d4e70791e2,Моделирование временных рядов,-
2826fc94cd575c8f7b0a2416506e70e5,Высокопроизводительные вычисления,-
b3e75ee2a708cef65cc2f80da894dd50,???,-
ea9d7e5f21ee102565b1437b26eb1144,Язык SQL,-
760529fb42ad1fd50071e2ceeadaaedc,Язык SQL,-
b8dab0479a00af2eb75deaf54dd9a442,Моделирование временных рядов,Язык SQL
9fa4bc4eb50e574e88b670a86781860b,Язык SQL,-
f8fab519d78047712c06798c8b7fe38f,Моделирование временных рядов,Теория баз данных
b6fcd3cdcbbd950b4207acb65ee12d03,Безопасность компьютерных систем,-
9015b809a29fb65ce23d7addf16d770d,Моделирование временных рядов,Язык SQL
cabc5ea85cac3029dc2aecc4955f9cf3,???,-
ac2fd77f2ec0186c95f16e6721fd5998,Матричные вычисления,-
6257850b5decedd464341a5b763e3b4a,Теория баз данных,-
7f8feb54319e52cb63ad437f4128a9d8,???,-
f0f01fe07310ce6f403894eb624ac323,Высокопроизводительные вычисления,-
723d5f32b699c971b4095a017c883ffa,Statistical Learning Theory,-
67e3336ac46b6030f7b25853154783c6,Безопасность компьютерных систем,-
1ed2386f4de225ae7aa6cfd5772d9c50,Моделирование временных рядов,-
00b40fe7dbfd23e5daba765244509415,Матричные вычисления,-
cfe9fd28e4cbe0b46594b21f3067e30a,Язык SQL,-
